공고명,회사명,URL
AI/ML 엔지니어(2년~5년),데이터노우즈,https://www.wanted.co.kr/wd/253322
[그루비 SaaS 솔루션] AI 엔지니어 (NLP),플래티어,https://www.wanted.co.kr/wd/261357
[AI] 그로스 마케터,카티어스,https://www.wanted.co.kr/wd/253321
[프로그래머스] AI 개발자(감독솔루션팀),그렙(프로그래머스),https://www.wanted.co.kr/wd/268620
"AI 엔지니어 (89년 이후 출생, TIPS)",베베리아,https://www.wanted.co.kr/wd/259951
"인공지능, 알고리즘 엔지니어",럭스로보(LUXROBO),https://www.wanted.co.kr/wd/233519
Data&AI 분야 클라우드 기술영업 담당자(5년이하),메이븐클라우드서비스,https://www.wanted.co.kr/wd/260593
마케터,하이(Haii),https://www.wanted.co.kr/wd/265995
AI/ML 엔지니어,와탭랩스(WhaTapLabs),https://www.wanted.co.kr/wd/244545
[AI플랫폼팀] Full-stack 개발자(Junior),크라우드웍스,https://www.wanted.co.kr/wd/255983
"AI Researcher (언어모델, 비전-언어모델, RAG, AI Agent)",인터엑스,https://www.wanted.co.kr/wd/261477
Sr. Researcher (LLM),에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/264931
AI Engineer - 전문연구요원 가능,이마고웍스,https://www.wanted.co.kr/wd/245712
AI 데이터 사이언티스트,레디포스트,https://www.wanted.co.kr/wd/262130
"Digital Twin, AI 사업 프로젝트 PM",시어스랩(Seerslab),https://www.wanted.co.kr/wd/267559
[DATA&AI] Data Engineer(Platform),베이글코드(Bagelcode),https://www.wanted.co.kr/wd/259709
AI 풀스택 엔지니어,트리플렛,https://www.wanted.co.kr/wd/135822
[서비스개발본부] AI Engineer,차봇모빌리티,https://www.wanted.co.kr/wd/263139
[병역특례] AI 관련 원천기술 연구 및 소프트웨어 개발자 (전문연구요원),심플랫폼,https://www.wanted.co.kr/wd/265184
딥러닝/머신러닝(AI) 개발자,스카이랩스(SkyLabs),https://www.wanted.co.kr/wd/157560
AI Consultant,크라우드웍스,https://www.wanted.co.kr/wd/234991
[AI] Project Manager (PM/PL),메사쿠어컴퍼니,https://www.wanted.co.kr/wd/270437
Backend Engineer (Senior),베슬에이아이(VESSL AI),https://www.wanted.co.kr/wd/207873
Gen AI 백엔드 개발자 (4년차 이상),아스타,https://www.wanted.co.kr/wd/253137
[광고사업부] AI 크리에이티브 디자이너,매드업,https://www.wanted.co.kr/wd/222569
AI Engineer (전문연 지원 가능),마인즈앤컴퍼니,https://www.wanted.co.kr/wd/215978
백엔드 개발자 (Ruby on Rails),스테이폴리오,https://www.wanted.co.kr/wd/261147
"딥러닝/머신러닝(AI) 개발자 [신입, 전문연구요원(보충역/전직) 가능",스카이랩스(SkyLabs),https://www.wanted.co.kr/wd/188191
UIUX 디자이너/기획,아인잡(AINJOB),https://www.wanted.co.kr/wd/252542
AI 비즈니스 전략기획 매니저,한국딥러닝,https://www.wanted.co.kr/wd/261624
Machine Learning Software Engineer (MG AI),하이퍼커넥트,https://www.wanted.co.kr/wd/262494
MLOps Engineer (2년 이상),뤼이드(Riiid),https://www.wanted.co.kr/wd/251415
C# 개발자,인라이플,https://www.wanted.co.kr/wd/268684
AI 국제 물류 스타트업 백엔드 개발자,아로아랩스,https://www.wanted.co.kr/wd/263263
Senior AI Engineer,누비랩,https://www.wanted.co.kr/wd/241300
Product Solution Architect,업스테이지,https://www.wanted.co.kr/wd/267077
AI 엔지니어(AI engineer),인딥에이아이,https://www.wanted.co.kr/wd/261274
AI 기반 백엔드 개발,블록체인랩스,https://www.wanted.co.kr/wd/255004
AI Research Engineer (LLM Application),시나몬,https://www.wanted.co.kr/wd/261846
[CHAI CRE.W] 아트디렉터 (5년~11년),차이커뮤니케이션,https://www.wanted.co.kr/wd/269004
AI 학습데이터 설계/구축 PM,스피링크,https://www.wanted.co.kr/wd/264673
[서울근무] AI/Big Data 서비스 해외(국내) PR 담당자,뉴엔에이아이,https://www.wanted.co.kr/wd/258769
[AI 헬스케어] 바이오 R&D 연구원,바이오컴,https://www.wanted.co.kr/wd/268545
Computer Vision SW Engineer(AI),포비콘,https://www.wanted.co.kr/wd/268838
[AI반도체] Camera Sensor Engineer,모빌린트,https://www.wanted.co.kr/wd/266387
ML/AI 엔지니어,세미에이아이,https://www.wanted.co.kr/wd/270315
[ESTsoft] AI Growth Product Manager (경력),이스트소프트(ESTsoft),https://www.wanted.co.kr/wd/266281
AI 최적화 Researcher,에너자이(ENERZAi),https://www.wanted.co.kr/wd/219652
AI Model Optimization Engineer (CPU/GPU/NPU),인터엑스,https://www.wanted.co.kr/wd/252960
FC General Affairs Manager,버킷플레이스(오늘의집),https://www.wanted.co.kr/wd/253222
AI Glass 상품 기획 총괄 리더,시어스랩(Seerslab),https://www.wanted.co.kr/wd/269246
AI 기반 콘텐츠 플랫폼 BPO (Product Owner),머스트핀테크,https://www.wanted.co.kr/wd/269262
AI 기반 콘텐츠 플랫폼 TPM (Product Manager),머스트핀테크,https://www.wanted.co.kr/wd/269261
AI 개발자,르호사,https://www.wanted.co.kr/wd/243804
[웹앱개발] 이미지 생성형 AI 서비스 플랫폼 개발자,세아아이씨티,https://www.wanted.co.kr/wd/270283
스마트팩토리 AI 솔루션 셋업 엔지니어링 및 개발,아하랩스,https://www.wanted.co.kr/wd/104029
[개발운영] 주니어 AI 개발자 (병역특례 전문연구요원),누리미디어(DBpia),https://www.wanted.co.kr/wd/257808
[AI반도체] Product Test Engineer,모빌린트,https://www.wanted.co.kr/wd/263453
Senior Backend Engineer (AI Platform),포티투닷(42dot),https://www.wanted.co.kr/wd/193794
AI 솔루션 아키텍트 (AI Solution Architect),휴머스온,https://www.wanted.co.kr/wd/268529
"[CHAI CRE.W] 소셜 미디어 기획자 (팀장급, 10년~12년)",차이커뮤니케이션,https://www.wanted.co.kr/wd/267103
